Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
ANUPAM,WB41J9765,ANUPAM - K,,,,,,,Private - NON AC,,,Kharikamathani,Bankura
MAA BASANTI,WB55B5653,MAA BASANTI - M,,,,,,TRISHIT TRAVELS,Private - NON AC,,,Manbazar,Purulia
SBSTC,B,SBSTC - B,,,,,,South Bengal State Transport Corporation,Government - NON AC,7699993928,,Bankura,Asansol
MAA DANGARKALI,WB67C1849,MAA DANGARKALI - B,,,,,,,Private - NON AC,,,Budbud,Manbazar
BALAJI,WB29B5612,BALAJI - E,,,,,,,Private - NON AC,,,Egra,Howrah
BABA BIHARINATH,WB37B2307,BABA BIHARINATH - B,,,,,,,Private - NON AC,,,Biharinath,Ranibandh
PRAVATI,WB29D6342,PRAVATI - H,,,,,MAA KALI,PRAVATI TRAVELS,Private - NON AC,9474978143,9832365300,Haldia,Gidhni
JOY MAA,WB11C7140,JOY MAA - B,,,,,,,Private - NON AC,,,Bankura,Tarkeshwar
LAXMIPRIYA,WB33A9065,LAXMIPRIYA - L,,,,,,LAXMIPRIYA TRAVELS,Private - NON AC,,,Lakshmisagar,Bankura
VEER,WB41H6638,VEER - K,,,,,AYESHA,,Private - NON AC,8942809805,7001620433,Krishnanagar,Asansol
KGN,WB33F0605,KGN - M,,,,,,,Private - NON AC,7478594714,,Mecheda,Bardhaman
TARA MAA,WB15C1881,TARA MAA - T,,,,,SUBHAM,SUBHAM TRAVELS,Private - NON AC,,,Tarkeshwar,Kharagpur
MONALISHA,WB55A2254,MONALISHA - B,,,,,RANGAMATI,MONALISHA TRAVELS,Private - NON AC,9635705368,,Bandwan,Kolkata (Esplaned)
TARA MAA,WB17P2630,TARA MAA - J,,,,,,,Private - NON AC,6295888237,9732322657,Jamtoria,Tarkeshwar
MAA BAGALA,WB49N2412,MAA BAGALA - D,,,,,,,Private - NON AC,,,Digha,Sarenga
MAYABATI,WB17N3789,MAYABATI - B,,,,,,,Private - NON AC,9732621620,9434126377,Bishnupur,Kolkata (Esplaned)
NARAYAN,WB11G3262,NARAYAN - H,,,,,,,Private - NON AC,9804850626,,Howrah,Chandrakona Road
SULOCHONA,WB676899,SULOCHONA - R,,,,,,,Private - NON AC,,,Raghunathpur,Bankura
CHAITANYA,WB67A9662,CHAITANYA - N,,,,,SAYANTI,SAYANTI PARIBAHAN,Private - NON AC,,,Nabadwip,Asansol
RAJA COACH,WB67A0999,RAJA COACH - S,,,,,,,Private - NON AC,8373085466,,Sonamukhi,Kolkata (Esplaned)
HIRA MUKTA,WB67C2031,HIRA MUKTA - B,,,,,,,Private - NON AC,,,Bankura,Manbazar
HIRA MUKTA,WB67C2031,HIRA MUKTA - B,,,,,,,Private - NON AC,,,Bankura,Manbazar
TARA MAA,WB67C1342,TARA MAA - K,,,,,,,Private - NON AC,,,Khatra,Arambagh
SILVERJET,WB339799,SILVERJET - M,,,,,ROYAL,,Private - NON AC,9635031949,8906277420,Medinipur,Bankura
MAA APARNA,WB673945,MAA APARNA - B,,,,,,JOY BABA SANYASI,Private - NON AC,,,Bankura,Jhargram
IMON,WB41H0075,IMON - B,,,,,,SATHI TRAVELS,Private - NON AC,,,Bardhaman,Bankura
MAYER ANCHOL,WB15A4447,MAYER ANCHOL - C,,,,,,SREE DHAR TRAVELS,Private - NON AC,,,Chakta,Bardhaman
KRISHNA SARATHI,WB33D6445,KRISHNA SARATHI - K,,,,,JOY MAA KALI,DUTTA MOTORS,Private - NON AC,8637042580,,Kharagpur,Purulia
SHYAMA MAA,WB19F7398,SHYAMA MAA - G,,,,,,,Private - NON AC,,,Garhbeta,Jhargram
JUGAL CHAKRA,WB33D3687,JUGAL CHAKRA - P,,,,,SRI KRISHNA,,Private - NON AC,,,Purulia,Bankura
MAA KAMALA,WB57A1735,MAA KAMALA - B,,,,,,,Private - NON AC,,,Badanganj,Kolkata (Esplaned)
ASTHA,WB51B1888,ASTHA - B,,,,,,ASTHA TRAVELS,Private - NON AC,7076401220,,Bangaon,Bardhaman
MAA PARAMESWARI,WB673983,MAA PARAMESWARI - M,,,,,,,Private - NON AC,,,Manihara,Bankura
MAA PARAMESWARI,WB673983,MAA PARAMESWARI - M,,,,,,,Private - NON AC,,,Manihara,Bankura
SBSTC,P,SBSTC - P,,,,,,South Bengal State Transport Corporation,Government - NON AC,7699993928,7699993955,Purulia,Durgapur (Station)
AMBIKA,WB679341,AMBIKA - K,,,,,,,Private - NON AC,,,Khatra,Bankura
AMBIKA,WB679341,AMBIKA - K,,,,,,,Private - NON AC,,,Khatra,Bankura
APANJAN,WB67D5949,APANJAN - R,,,,,,APANJAN TRAVELS,Private - AC,,,Raniganj,Bankura
AMARNATH,WB496776,AMARNATH - G,,,,,,AMARNATH TRAVELS,Private - NON AC,,,Gopiballabpur,Bandwan
DURANTA,WB19G1816,DURANTA - K,,,,,,,Private - NON AC,,,Kalna,Dhabani
DEBDHANI,WB41K4109,DEBDHANI - D,,,,,,,Private - NON AC,,,Dhabani,Kalna
SATHI,WB67B3612,SATHI - B,,,,,,SATHI TRAVELS,Private - NON AC,,,Bankura,Tarkeshwar
BHAGYALAXMI,WB55A8927,BHAGYALAXMI - T,,,,,,,Private - NON AC,,,Tatanagar,Barabazar
BHAGYALAXMI,WB55A8927,BHAGYALAXMI - B,,,,,,,Private - NON AC,,,Balarampur,Tatanagar
ARGHADEEP,WB53A0055,ARGHADEEP - B,,,,,,,Private - NON AC,,,Bankura,Asansol
MAA SARADA,WB55B8329,MAA SARADA - D,,,,,INDRANI,,Private - NON AC,9932311966,9647585887,Digha,Purulia
SHIBAM,WB678424,SHIBAM - B,,,,,,SHIBAM TRAVELS,Private - NON AC,,,Bhutsahar,Bankura
AVIJAN,WB33C0266,AVIJAN - T,,,,,,,Private - NON AC,,,Tarkeshwar,Medinipur
RAM KRISHNA,WB33B2874,RAM KRISHNA - P,,,,,,,Private - NON AC,9832160700,9382337338,Panskura,Bardhaman
MAYABATI,WB29B5298,MAYABATI - K,,,,,BABA BISWANATH,,Private - NON AC,8918228726,,Kotulpur,Kolkata (Esplaned)
PRIYA RANO,WB534718,PRIYA RANO - B,,,,,MAFUZAR,,Private - NON AC,8509035527,,Bolpur,Baharampur
SATHI,WB674261,SATHI - T,,,,,,,Private - NON AC,,,Tarkeshwar,Bankura
MAA KALI,WB33F3367,MAA KALI - R,,,,,,,Private - NON AC,,,Ramjibanpur,Medinipur
MAA KALI,WB33F3367,MAA KALI - R,,,,,,,Private - NON AC,,,Ramjibanpur,Medinipur
