Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
MITRA,WB31B4669,MITRA - C,,,,,,MITRA TRAVELS,Private - NON AC,9339054414,,Contai,Bankura
RATUL BABU,WB67B8441,RATUL BABU - B,,,,,AYUSH,,Private - NON AC,,,Bankura,Tarkeshwar
KARUNAMOYEE,WB67C1441,KARUNAMOYEE - R,,,,,,,Private - NON AC,,,Raniganj,Kashipur
GARIB NAWAZ,WB55A7755,GARIB NAWAZ - S,,,,,ROYAL,,Private - NON AC,,,Sonathali,Bandwan
BANALATA,WB67A5056,BANALATA - D,,,,,ARGHA PRIYAM,,Private - NON AC,,,Durgapur (Station),Bandwan
BISWA BINA,WB11F7820,BISWA BINA - C,,,,,,,Private - NON AC,9734361232,,Chandrakona Road,Howrah
JAY MAA DURGA,WB55A7283,JAY MAA DURGA - B,,,,,,JAY MAA DURGA TRAVELS,Private - NON AC,9883440610,,Bankura,Tatanagar
ARGHA,WB432825,ARGHA - N,,,,,,ARGHA TRAVELS,Private - NON AC,,,Nabadwip,Benachity
SREEMA,WB530586,SREEMA - B,,,,,,,Private - NON AC,,,Bolpur,Asansol
SRI RAMKRISHNA,WB49N0540,SRI RAMKRISHNA - B,,,,,SHAKIL,,Private - NON AC,9832384052,,Bardhaman,Mecheda
JOY BANGLA,WB37E5447,JOY BANGLA - A,,,,,,,Private - NON AC,,,Asansol,Krishnanagar
SRI BALAJI,WB37E5964,SRI BALAJI - B,,,,,,,Private - NON AC,8371899912,,Bankura,Dhanbad
SOHAIL,WB67A1855,SOHAIL - B,,,,,,,Private - NON AC,,,Bankura,Purulia
PRIYAJIT,WB49N0795,PRIYAJIT - H,,,,,,,Private - NON AC,9434414594,,Howrah,Chandrakona Town
MAA SHITALA,WB49N0554,MAA SHITALA - I,,,,,,,Private - NON AC,9733667597,,Irhpala,Howrah
MAA CHANDI,WB29C4851,MAA CHANDI - M,,,,,,,Private - NON AC,7407624030,8370902251,Mangrul,Kolkata
MAA SHITALA,WB55B8424,MAA SHITALA - T,,,,,,,Private - NON AC,9733667597,,Tarkeshwar,Mangrul
MAA SHITALA,WB55B8424,MAA SHITALA - G,,,,,,,Private - NON AC,9733667597,,Ghatal,Tarkeshwar
RADHAMADHAB,WB29C3215,RADHAMADHAB - E,,,,,,,Private - NON AC,9564577273,9749962001,Egra,Mukundapur
ISHIKA,WB67C3233,ISHIKA - B,,,,,,ISHIKA TRAVELS,Private - NON AC,8436160723,9434184415,Bankura,Kalyani
MAA GANDHESWARI,WB33D6120,MAA GANDHESWARI - B,,,,,,,Private - NON AC,9635289626,,Bankura,Hatibari
SAYANDIP,WB33D3936,SAYANDIP - K,,,,,,,Private - NON AC,,,Kantakhali,Jhargram
JUGAL CHAKRA,WB55A3959,JUGAL CHAKRA - P,,,,,,,Private - NON AC,9064016808,,Purulia,Simlapal
MONALISHA,WB55A3759,MONALISHA - B,,,,,ARANYAK,MONALISHA TRAVELS,Private - NON AC,9609604080,,Barabazar,Kolkata (Esplaned)
SIXER,WB37E1356,SIXER - D,,,,,,,Private - NON AC,,,Durgapur (Station),Bokaro
KRISHNADEB RATH,WB67C2286,KRISHNADEB RATH - M,,,,,PRANER TARA,,Private - NON AC,,,Manihara,Ranibandh
AVINANDAN,WB33B8617,AVINANDAN - C,,,,,AYAN,AVINANDAN TRAVELS,Private - NON AC,9434209116,9734472835,Chandrakona Road,Durgachak
MOUSUMI,WB67B5428,MOUSUMI - B,,,,,DISHA,,Private - NON AC,8116247347,8759464135,Baidyanathpur,Purulia
PALLY DUTH,WB41K3344,PALLY DUTH - S,,,,,,,Private - AC,8972444375,,Sonamukhi,Karunamoyee
RBN TRAVELS,WB55B8418,RBN TRAVELS - B,,,,,,RBN TRAVELS,Private - NON AC,,,Berada,Badanganj
TANVEER,WB41K2839,TANVEER - R,,,,,,TANVEER LINE,Private - NON AC,9382309727,,Rasulpur,Pirakata
KABERI,WB33D4039,KABERI - K,,,,,,KABERI TRAVELS,Private - NON AC,8972947097,9903121330,Keshpur,Kamalgazi
LAXMIPRIYA,WB67A0036,LAXMIPRIYA - L,,,,,TRIBENI,,Private - NON AC,,,Lakshmisagar,Bankura
LALKAMAL,WB33C1916,LALKAMAL - M,,,,,,,Private - NON AC,7602450060,,Medinipur,Ghatal
JOYDEEPI,WB678501,JOYDEEPI - B,,,,,,,Private - NON AC,,,Bishnupur,Manbazar
AZAM,WB37C4174,AZAM - J,,,,,,,Private - NON AC,9134636392,8145142568,Jangipur,Asansol
VINAYAK,WB55B9573,VINAYAK - B,,,,,,VINAYAK PARIBAHAN,Private - AC,,,Barabazar,Durgapur (City Center)
ANIMESH,WB67A7976,ANIMESH - J,,,,,SAHIL SOHAN,ANIMESH BUS TRANSPORT,Private - NON AC,,,Jhargram,Bankura
ARMAN,WB33F3406,ARMAN - R,,,,,,,Private - NON AC,9647043891,9800264488,Ranibandh,Kolkata
SRABANI LABANI,WB33C8131,SRABANI LABANI - C,,,,,SRABANI LABANI ISHANI,,Private - NON AC,8001353639,9547385090,Chandrakona Town,Kolkata
MAA CHANDI,WB29C4551,MAA CHANDI - E,,,,,,,Private - NON AC,8293339121,,Egra,Karunamoyee
RUPALI,WB39C4629,RUPALI - D,,,,,,,Private - NON AC,8918543600,,Durgapur (Station),Arambagh
RUDRANI,WB33B1830,RUDRANI - K,,,,,SAMPA,,Private - NON AC,8207025330,,Kharagpur,Manbazar
PUTUL,WB67C2540,PUTUL - L,,,,,,,Private - NON AC,,,Lachhipur,Bankura
ABHISEK,WB29B8386,ABHISEK - H,,,,,,,Private - NON AC,9732105375,,Haldia,Bankura
SAHANA,WB554799,SAHANA - S,,,,,,,Private - NON AC,,,Simlapal,Purulia
JOY BHARAT MATA,WB55B2460,JOY BHARAT MATA - J,,,,,,,Private - NON AC,,,Jhargram,Purulia
KALYAN,WB55B6656,KALYAN - J,,,,,,,Private - NON AC,,,Jhalda,Jhargram
ROCKET,WB41H0905,ROCKET - J,,,,,,,Private - NON AC,9434178161,7908776277,Jhilimili,Kolkata
MAA DURGA,WB67A1120,MAA DURGA - M,,,,,,MAA DURGA TRAVELS,Private - NON AC,,,Manbazar,Bankura
MAA DURGA,WB67A1120,MAA DURGA - M,,,,,,MAA DURGA TRAVELS,Private - NON AC,,,Manbazar,Bankura
DEBI KAMAKHYA,WB67B0869,DEBI KAMAKHYA - B,,,,,RAJA BABU,,Private - NON AC,,,Bandwan,Bankura
GREEN VALLEY,WB33E2462,GREEN VALLEY - R,,,,,MAA MANASA,,Private - NON AC,9564059707,,Raipur,Howrah
JOY MAA CHANDI,WB67A7259,JOY MAA CHANDI - B,,,,,JOY BABA SARESWAR,,Private - NON AC,8617058534,,Bankura,Tarkeshwar
RAJ TRAVELS,WB11B0566,RAJ TRAVELS - S,,,,,,RAJ TRAVELS,Private - NON AC,8617058534,,Simlabandh,Durgapur (Station)
HAMIM,WB67A7107,HAMIM - M,,,,,,,Private - NON AC,,,Majuria,Bankura
RAJ,WB67A5391,RAJ - D,,,,,,,Private - NON AC,,,Dumurtore,Bankura
TARAKRIPA,WB31A4531,TARAKRIPA - M,,,,,MAA SUBHASINI,,Private - NON AC,9679219838,,Medinipur,Digha
SBSTC,B,SBSTC - B,,,,,,,Government - NON AC,7699993928,,Bankura,Kolkata (Esplaned)
DURONTO,WB534964,DURONTO - B,,,,,,MAA TARINI TRAVELS,Private - NON AC,8172001510,,Bolpur,Bankura
PUSPANJALI,WB49N1277,PUSPANJALI - C,,,,,,PUSPANJALI TRAVELS,Private - NON AC,7602387203,7602564304,Chandrakona Town,Karunamoyee
SBSTC,J,SBSTC - J,,,,,,,Government - NON AC,8777315955,7699993955,Jhargram,Durgapur (City Center)
RAJDHANI,WB17N3738,RAJDHANI - B,,,,,DURGA,,Private - NON AC,9474088530,,Bankura,Kolkata (Esplaned)
CHANGDAR,WB33B7501,CHANGDAR - K,,,,,MAA BANKA BURI,CHANGDAR TRAVELS,Private - NON AC,8670019699,9830804154,Kolkata (Esplaned),Chandrakona Road
MANDIRA,WB67A1835,MANDIRA - C,,,,,PRANER TARA,,Private - NON AC,,,Chelyama,Bankura
DEBI CHANDI,WB67B0369,DEBI CHANDI - S,,,,,SHYAM SUNDAR,,Private - NON AC,7047141569,8016440940,Simlabandh,Tarkeshwar
RAJDOOT,WB11C4317,RAJDOOT - T,,,,,,RAJDOOT  TRAVELS,Private - NON AC,,,Tangrakhali,Baharagora
BABA LOKENATH,WB67A6152,BABA LOKENATH - B,,,,,,,Private - NON AC,,,Bankura,Tatanagar
SHIV SHAKTI,JH05BE0969,SHIV SHAKTI - T,,,,,,,Private - NON AC,7797345488,,Tatanagar,Durgapur (Station)
SAGAR,WB33D4176,SAGAR - R,,,,,,Sagar Travels,Private - NON AC,8945931069,,Raskundu,Medinipur
SAGAR,WB33D4176,SAGAR - R,,,,,,Sagar Travels,Private - NON AC,8945931069,,Raskundu,Medinipur
TOOFAN,WB33C4881,TOOFAN - J,,,,,,,Private - NON AC,,,Joypur,Kolkata
MADHUMITA,WB29C3680,MADHUMITA - H,,,,,,,Private - NON AC,9748923990,9635341938,Haldia,Belpahari
ANISH,WB33C4114,ANISH - N,,,,,,ANISH TRAVELS,Private - NON AC,9083184114,,Neradeul,Kolkata
RAMANANDA,WB29A5504,RAMANANDA - A,,,,,,,Private - NON AC,9735359700,,Argoal,Howrah
HELLO BANGLA,WB37D9247,HELLO BANGLA - B,,,,,JAI MAA SHERAWALI,,Private - NON AC,,,Bardhaman,Asansol
SBSTC,D,SBSTC - D,,,,,,,Government - NON AC,7699993948,,Durgapur (City Center),Gopiballabpur
SARATHI,WB33B1924,SARATHI - K,,,,,,,Private - NON AC,,,Kenjakura,Bankura
SARATHI,WB33B1924,SARATHI - K,,,,,,,Private - NON AC,,,Kenjakura,Bankura
SAHANA,WB555504,SAHANA - G,,,,,,,Private - NON AC,,,Gopalpur,Purulia
COMMANDO,JH05AM2275,COMMANDO - T,,,,,,,Private - NON AC,7765054379,7063194393,Tatanagar,Bankura
MAHAMAYA,WB23E0985,MAHAMAYA - R,,,,,,,Private - NON AC,7047646124,9083229264,Ranibandh,Kolkata
BURA BABA,WB67C1887,BURA BABA - D,,,,,,,Private - NON AC,6296065598,,Durgapur (Station),Bankura
JINIA,WB39B7718,JINIA - D,,,,,,,Private - NON AC,9474881832,,Durgapur (City Center),Digha
NIGAMDUT,WB313265,NIGAMDUT - C,,,,,SUDHAMOYEE,,Private - NON AC,,,Chandrakona Town,Tarkeshwar
RAJ,WB67A0155,RAJ - D,,,,,,,Private - NON AC,,,Dhanara,Durgapur (Station)
INDIRA,WB41B2819,INDIRA - B,,,,,ABHIRUP,INDRA TRAVELS,Private - NON AC,,,Bankura,Chelyama
SHEFALI,WB67B9155,SHEFALI - M,,,,,,,Private - NON AC,,,Majuria,Bankura
BIJAYA,WB41C8661,BIJAYA - C,,,,,,,Private - NON AC,,,Chandrakona Road,Tamajuri
SBSTC,D,SBSTC - D,,,,,,,Government - NON AC,7699993948,,Durgapur (City Center),Purulia
RAGHUNATH,WB55B2111,RAGHUNATH - K,,,,,KALYANI,RAGHUNATH TRAVELS,Private - NON AC,,,Kenjakura,Purulia
KAILASH,WB553831,KAILASH - K,,,,,,,Private - NON AC,,,Kenjakura,Purulia
PRATIDIN,WB319082,PRATIDIN - D,,,,,,,Private - NON AC,8167284967,6294971244,Digha,Arambagh
KAILASH,WB55B2398,KAILASH - J,,,,,,,Private - NON AC,,,Jhantipahari,Purulia
JOY MAA,WB675786,JOY MAA - B,,,,,AAJKAL,,Private - NON AC,7318624944,,Bankura,Chandrakona Road
MAITY SUPER,WB33B5590,MAITY SUPER - K,,,,,,,Private - NON AC,,,Khetua,Howrah
PATHER DABI,WB41J6996,PATHER DABI - G,,,,,,,Private - NON AC,8695190550,,Ghatal,Nabadwip
DURGA,WB41K1665,DURGA - B,,,,,,,Private - NON AC,,,Bardhaman,Ghatal
SBSTC,M,SBSTC - M,,,,,,,Government - NON AC,7699993944,,Medinipur,Malda
MAA SHITALA,WB49N2221,MAA SHITALA - C,,,,,,,Private - NON AC,9733667597,,Chandrakona Town,Howrah
MAA RAKSHAKALI,WB67B0053,MAA RAKSHAKALI - C,,,,,,,Private - NON AC,,,Chandrakona Road,Bankura
PASUPATINATH,WB33C8050,PASUPATINATH - B,,,,,,,Private - NON AC,7029532609,,Bankura,Baripada
MAA KOKONDESHWARI,WB49N2163,MAA KOKONDESHWARI - M,,,,,,,Private - NON AC,9732095912,9475408445,Mecheda,Bardhaman
MONIKANCHAN,WB29C4457,MONIKANCHAN - S,,,,,,,Private - NON AC,9733409780,9933933328,Solpatta,Karunamoyee
PUSPANJALI,WB19H5896,PUSPANJALI - K,,,,,,,Private - NON AC,9800305181,,Kolkata,Chandrakona Town
DEVI DURGA,WB55B6801,DEVI DURGA - M,,,,,KRISHNA NARAYAN,,Private - NON AC,,,Manbazar,Jhargram
ANINDYA BRISTI,WB15C0583,ANINDYA BRISTI - T,,,,,SANTOSHI MATA,,Private - NON AC,,,Tarkeshwar,Bankura
MADHURI,WB33A6210,MADHURI - C,,,,,,,Private - NON AC,,,Contai,Medinipur
BISWA BINA,WB19G8720,BISWA BINA - K,,,,,,,Private - NON AC,9734309796,,Kuthighat,Howrah
AKASH BRISTI,WB15C1616,AKASH BRISTI - T,,,,,,,Private - NON AC,9932766307,9800238195,Tarkeshwar,Durgachak
MALLIKA,WB67A6619,MALLIKA - B,,,,,,,Private - NON AC,,,Bishnupur,Purulia
MALLICK BROTHERS,WB11C3375,MALLICK BROTHERS - T,,,,,,,Private - NON AC,,,Tarkeshwar,Bankura
KAILASPATI,WB15B8657,KAILASPATI - C,,,,,DISHA DIYA,,Private - NON AC,,,Chandrakona Road,Bardhaman
SNEMITA,WB11C6824,SNEMITA - D,,,,,PRATIDIN,,Private - NON AC,6294730966,8967310804,Digha,Bardhaman
KAILASH,WB33C8899,KAILASH - K,,,,,,,Private - NON AC,,,Kharagpur,Tarkeshwar
MAA TARA,WB67C2355,MAA TARA - B,,,,,,,Private - NON AC,,,Bankura,Jhargram
MAA KALI,WB31A4339,MAA KALI - S,,,,,,,Private - NON AC,9732862466,9932977574,Sautia,Howrah
TIRUPATI,WB67B2222,TIRUPATI - K,,,,,,,Private - NON AC,,,Kenjakura,Bankura
TIRUPATI,WB67B2222,TIRUPATI - K,,,,,,,Private - NON AC,,,Kenjakura,Molian
KALPANA,WB67B9078,KALPANA - B,,,,,,,Private - NON AC,,,Bankura,Tarkeshwar
SUBHASREE,WB674033,SUBHASREE - K,,,,,,,Private - NON AC,9775360473,,Kashipur,Bankura
SUBHASREE,WB674033,SUBHASREE - K,,,,,,,Private - NON AC,9775360473,,Kashipur,Bankura
BISWA BINA,WB29B9911,BISWA BINA - K,,,,,,,Private - NON AC,8695136251,,Kolkata,Chandrakona Road
MAYER DAN,WB31A0769,MAYER DAN - K,,,,,,,Private - NON AC,,,Kantakhali,Haldia
SULTAN,WB67A9247,SULTAN - K,,,,,,,Private - NON AC,,,Kashipur,Durgapur (Station)
SREEDHAR,WB49N1966,SREEDHAR - C,,,,,,,Private - NON AC,,,Chandrakona Road,Howrah
AYESHA,WB67B5662,AYESHA - B,,,,,,,Private - NON AC,,,Bankura,Jhargram
MADAN MOHAN,WB159138,MADAN MOHAN - B,,,,,,,Private - NON AC,,,Bankura,Bishnupur
APSARA,WB33B4503,APSARA - P,,,,,,,Private - NON AC,7365889667,,Panskura,Bardhaman
AANI,WB37D6281,AANI - A,,,,,,,Private - NON AC,8918394391,,Asansol,Kandi
MUKTA BIHANGA,WB676918,MUKTA BIHANGA - B,,,,,,,Private - NON AC,,,Bishnupur,Purulia
BANESWAR,WB33F3150,BANESWAR - K,,,,,,,Private - NON AC,9382684012,,Kantore,Kantakhali
NASRIN NARGIS,WB532193,NASRIN NARGIS - B,,,,,,,Private - NON AC,7585094353,,Bolpur,Hematpur
AGAMANI,WB67C0511,AGAMANI - B,,,,,,,Private - NON AC,,,Bankura,Raniganj
MALLIKA,WB33C6051,MALLIKA - B,,,,,,,Private - NON AC,8514010320,,Bishnupur,Kolkata (Esplaned)
RADHA DAMODAR,WB297565,RADHA DAMODAR - B,,,,,,,Private - NON AC,,,Bardhaman,Mecheda
JOY GANESH,WB29B0964,JOY GANESH - B,,,,,,,Private - NON AC,9434802576,,Bankura,Hijli Sorif
SULOCHONA,WB673235,SULOCHONA - B,,,,,,,Private - NON AC,,,Bankura,Raniganj
SULOCHONA,WB673235,SULOCHONA - B,,,,,,,Private - NON AC,,,Biharinath,Bankura
BISWA BINA,WB29B0844,BISWA BINA - K,,,,,,,Private - NON AC,9748054982,,Kolkata,Chandrakona Road
TUMPA SONA,WB55B7838,TUMPA SONA - P,,,,,,,Private - NON AC,9932311966,9647585887,Purulia,Digha
PARTHA SAKHA,WB49N2139,PARTHA SAKHA - M,,,,,,,Private - NON AC,9434342120,9635825989,Mangrul,Kolkata
TANVEER,WB41K2039,TANVEER - K,,,,,TANVEER LINE,TANVEER LINE,Private - NON AC,9382309727,,Kharagpur,Bardhaman
DEBAPRIYA,WB29C1050,DEBAPRIYA - M,,,,,,,Private - NON AC,,,Moyna,Jhargram
AYESHA,WB67C1808,AYESHA - B,,,,,,,Private - NON AC,,,Bankura,Bardhaman
TARA MAA,WB07J0180,TARA MAA - T,,,,,,,Private - NON AC,,,Tarkeshwar,Silda
TARA MAA,WB15C2847,TARA MAA - T,,,,,,,Private - NON AC,,,Tarkeshwar,Silda
SRI KRISHNA,WB33E5465,SRI KRISHNA - K,,,,,,,Private - NON AC,9732328874,,Khatra,Medinipur
PRIYAJIT,WB25F5052,PRIYAJIT - K,,,,,,,Private - NON AC,7001055148,,Kolkata,Chandrakona Town
DIAMOND,WB29C3934,DIAMOND - D,,,,,,,Private - NON AC,9732485770,,Durgachak,Karunamoyee
RAJDHANI EXPRESS,WB49N2499,RAJDHANI EXPRESS - K,,,,,,,Private - NON AC,9547142499,,Karunamoyee,Ramjibanpur
SAKLIN,WB15C3349,SAKLIN - T,,,,,,,Private - NON AC,7602641251,7319244685,Tarkeshwar,Ramgarh
CHANGDAR,WB49N2396,CHANGDAR - G,,,,,MAA BANKABURI,CHANGDAR TRAVELS,Private - NON AC,7602550552,7584063779,Goaltore,Karunamoyee
ATITHI,WB672909,ATITHI - M,,,,,,,Private - NON AC,6294239946,,Medinipur,Bankura
KABITA,WB39B8849,KABITA - G,,,,,,KABITA TRAVELS,Private - NON AC,9800757564,9647701060,Gopiballabpur,Durgapur (Station)
LAXMI SARASWATI,WB33A6031,LAXMI SARASWATI - B,,,,,,,Private - NON AC,,,Badanganj,Medinipur
PAYEL,WB41D4687,PAYEL - B,,,,,,,Private - NON AC,,,Bankura,Asansol
MAA MANASA,WB41H3201,MAA MANASA - B,,,,,,,Private - NON AC,8670688410,9800531201,Bardhaman,Purulia
BABA TARAKESWAR,WB29C2987,BABA TARAKESWAR - H,,,,,,,Private - NON AC,,,Haldia,Dhumsai
ROSHNI,WB33F3443,ROSHNI - D,,,,,,,Private - NON AC,,,Debra,Bajkul
JOY SRIKRISHNA,WB67B5278,JOY SRIKRISHNA - G,,,,,MAA MAHAMAYA,,Private - NON AC,8900394140,7976901906,Gopiballabpur,Bankura
KANGSABATI,WB55A4949,KANGSABATI - R,,,,,,,Private - NON AC,,,Ranchi,Bardhaman
RAJDHANI EXPRESS,WB49N2199,RAJDHANI EXPRESS - R,,,,,,,Private - NON AC,7384641259,7384726254,Ranichak,Karunamoyee
MAYER ANCHOL (SIDDHESHWARI),WB53C4134, - D,,,,,,,Private - NON AC,,,Durgapur (Station),Bolpur
MAYER ANCHOL (SIDDHESHWARI),WB53C4134, - D,,,,,,,Private - NON AC,,,Durgapur (Station),Bolpur
BASUNDHARA,WB178192,BASUNDHARA - S,,,,,,,Private - NON AC,8013445577,7595824650,Shyambazar,Bishnupur
RUDRANI,WB33D3454,RUDRANI - P,,,,,,,Private - NON AC,9733647390,9647043891,Purulia,Digha
MAA DULALI,WB67C0600,MAA DULALI - K,,,,,PARTHA SARATHI,,Private - NON AC,,,Kashipur,Budbud
WESTERN DIAMOND,WB33C4836,WESTERN DIAMOND - M,,,,,,,Private - NON AC,,,Medinipur,Bankura
MAA SARBAJOYA,WB67B0712,MAA SARBAJOYA - B,,,,,,,Private - NON AC,,,Bankura,Tarkeshwar
MAA JAGATGOURI,WB37E3393,MAA JAGATGOURI - C,,,,,SWEETY,,Private - NON AC,,,Chhirudi,Bankura
SONAR TORI,WB51B4939,SONAR TORI - K,,,,,,,Private - NON AC,,,Krishnanagar,Benachity
BHAGYALAXMI,WB55A4911,BHAGYALAXMI - B,,,,,,,Private - NON AC,,,Balarampur,Bankura
ASR TRAVELS,WB57C0999,ASR TRAVELS - H,,,,,,,Private - NON AC,9163253811,7872608500,Haludkanali,Kolkata (Esplaned)
DURDAR GATI,WB41E4265,DURDAR GATI - S,,,,,,,Private - NON AC,,,Salar,Asansol
MAA PARUL,WB67C2099,MAA PARUL - J,,,,,,,Private - NON AC,9933002449,,Jayrambati,Durgapur (Station)
GHARE BAIRE,WB67B1852,GHARE BAIRE - B,,,,,AVIJIT,,Private - NON AC,,,Bankura,Jhargram
NAYAK,WB67B2398,NAYAK - S,,,,,,,Private - NON AC,,,Susunia Hill,Khatra
ANJALI,WB67B7568,ANJALI - S,,,,,,,Private - NON AC,,,Silda,Bankura
MANASI,WB672936,MANASI - B,,,,,,,Private - NON AC,,,Bankura,Gidhni
BABA LOKENATH,WB33D4067,BABA LOKENATH - J,,,,,TEWARI,,Private - NON AC,,,Jhargram,Bankura
GITANJALI,WB41J7171,GITANJALI - B,,,,,,,Private - NON AC,9064234330,,Bardhaman,Mecheda
JOY BABA KHETRAPAL,WB33B3932,JOY BABA KHETRAPAL - A,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,9641529438,,Amlasuli,Jhargram
NEHA TRAVELS,WB33F3306,NEHA TRAVELS - K,,,,,,,Private - NON AC,9609249585,9547182512,Kharagpur,Bardhaman
TIRUPATI,WB67B9099,TIRUPATI - K,,,,,,,Private - NON AC,8653102810,9932511360,Kenjakura,Kolkata (Esplaned)
JOY MAHAPRABHU,WB29C3343,JOY MAHAPRABHU - M,,,,,,,Private - NON AC,9932187000,,Mundumari,Karunamoyee
RAKHAL RAJA,WB291268,RAKHAL RAJA - B,,,,,,,Private - NON AC,,,Buglidih,Bankura
NAYANMONI,WB33F3297,NAYANMONI - K,,,,,,,Private - NON AC,9679003148,9647964820,Kharagpur,Bardhaman
MAA CHANDI,WB67A1199,MAA CHANDI - G,,,,,,,Private - NON AC,,,Gopalnagar,Bankura
NIRANKAR,WB67A0652,NIRANKAR - B,,,,,,,Private - NON AC,,,Barakar,Bankura
MAYABATI,WB15C9837,MAYABATI - G,,,,,,,Private - NON AC,9144693537,,Garerghat,Maniktala
MAA SABITRI,WB29B5760,MAA SABITRI - N,,,,,DEBI MAA NACHINDA,,Private - NON AC,7501657372,,Nandigram,Bankura
PUTUL,WB67A9040,PUTUL - B,,,,,,,Private - NON AC,9002553488,,Bankura,Purulia
PALLYDOOT,WB67A8266,PALLYDOOT - B,,,,,,,Private - NON AC,,,Bankura,Durgapur (Station)
PALLYDOOT,WB67A8266,PALLYDOOT - B,,,,,,,Private - NON AC,,,Bankura,Jhargram
ROF ROF,WB33F3262,ROF ROF - G,,,,,,,Private - NON AC,9800919892,8158877878,Garhbeta,Durgachak
SOURAV,WB29B2061,SOURAV - C,,,,,,BADAL MOTORS,Private - NON AC,,,Contai,Jhargram
SULOCHONA,WB67B4332,SULOCHONA - B,,,,,,,Private - NON AC,,,Bankura,Raniganj
SULOCHONA,WB67B4332,SULOCHONA - J,,,,,,,Private - NON AC,,,Jorehira,Bankura
ATITHI,WB67B1167,ATITHI - S,,,,,,,Private - NON AC,8348707907,,Sarenga,Howrah
SWEETY,WB39B6338,SWEETY - D,,,,,,,Private - NON AC,,,Durgapur (Station),Bandwan
SHAKTI SREE,WB29B1394,SHAKTI SREE - B,,,,,,,Private - NON AC,,,Bankura,Asansol
DISHA,WB33F2716,DISHA - H,,,,,MAA NACHINDA,,Private - NON AC,,,Haldia,Medinipur
NABAJATRA,WB33D3053,NABAJATRA - G,,,,,,,Private - NON AC,,,Ghatal,Medinipur
NABAJATRA,WB33D3053,NABAJATRA - G,,,,,,,Private - NON AC,,,Ghatal,Medinipur
LAL PARUL,WB67C1598,LAL PARUL - B,,,,,,,Private - NON AC,9434216127,,Bankura,Medinipur
MAA SHARADA,WB67C2882,MAA SHARADA - P,,,,,,,Private - NON AC,,,Patrasayer,Bankura
MAA SHARADA,WB67C2882,MAA SHARADA - P,,,,,,,Private - NON AC,,,Patrasayer,Bankura
JAYANTI,WB31A6794,JAYANTI - E,,,,,,,Private - NON AC,8001128686,9732961158,Egra,Karunamoyee
JAI MAA DURGA,WB55B1765,JAI MAA DURGA - M,,,,,,,Private - NON AC,7583939647,8016889938,Manbazar,Kolkata (Esplaned)
TIRUPATI,WB675678,TIRUPATI - K,,,,,,,Private - NON AC,,,Kashipur,Bankura
BISWAKABI,WB51A0617,BISWAKABI - K,,,,,,,Private - NON AC,9800434336,,Krishnanagar,Suri
HAMIM,WB67A9183,HAMIM - B,,,,,,,Private - NON AC,,,Bankura,Jhargram
SHREE MADHUSUDHAN,WB67A9423,SHREE MADHUSUDHAN - D,,,,,,,Private - NON AC,,,Durgapur (Station),Jhargram
MAA BAGALA,WB33A6969,MAA BAGALA - K,,,,,,,Private - NON AC,6296024255,,Khatra,Contai
KRISHNA,WB336326,KRISHNA - M,,,,,,,Private - NON AC,9434544386,,Molian,Kashipur
GREEN VALLEY,WB33F2235,GREEN VALLEY - M,,,,,MAA MANASA,,Private - NON AC,9564059707,,Mukutmanipur,Gopiballabpur
MAA GITA,WB672222,MAA GITA - N,,,,,,,Private - NON AC,,,Nadihi,Bankura
MAA GITA,WB672222,MAA GITA - N,,,,,,,Private - NON AC,,,Nadihi,Bankura
AVIJAN,WB33B9200,AVIJAN - T,,,,,,,Private - NON AC,,,Tarkeshwar,Kharagpur
MAA LAXMI,WB55B6782,MAA LAXMI - P,,,,,,,Private - NON AC,,,Purulia,Bishnupur
MUKTA BIHANGA,WB677447,MUKTA BIHANGA - B,,,,,,,Private - NON AC,,,Bankura,Tarkeshwar
TANVEER,WB33B5549,TANVEER - B,,,,,,,Private - NON AC,9382309727,,Bankura,Bardhaman
MADAN MOHAN,WB29C5225,MADAN MOHAN - H,,,,,,,Private - NON AC,,,Haldia,Hoomgarh
TRILOCHAN,WB67B8156,TRILOCHAN - S,,,,,,,Private - NON AC,9609818442,,Simlapal,Purulia
NOSIB,WB33F3135,NOSIB - K,,,,,,,Private - NON AC,9474504977,,Kharagpur,Bardhaman
SATADAL,WB29B6869,SATADAL - D,,,,,,,Private - NON AC,7074768414,9733874842,Durgachak,Shyambazar
ROSHNI,WB33F1792,ROSHNI - E,,,,,,,Private - NON AC,,,Egra,Chandrakona Road
MAA SANAKA,WB11D1177,MAA SANAKA - K,,,,,,,Private - NON AC,8653533433,,Khatra,Medinipur
BANKI BIHARI,WB31A6632,BANKI BIHARI - D,,,,,,,Private - NON AC,8170090513,9434482381,Dantan,Howrah
SHRI GANESH,WB29C1748,SHRI GANESH - K,,,,,,,Private - NON AC,7001834050,9735301891,Kharagpur,Bardhaman
K.G.N.,WB31B5551, - H,,,,,,,Private - NON AC,7047464018,,Howrah,Egra
BANHISIKHA,WB55A2816,BANHISIKHA - B,,,,,,,Private - NON AC,,,Balarampur,Bankura
